[Viseme] offset=0.0 ms, viseme_id=0
[Viseme] offset=50.0 ms, viseme_id=19
[Viseme] offset=175.0 ms, viseme_id=2
[Viseme] offset=275.0 ms, viseme_id=21
[Viseme] offset=325.0 ms, viseme_id=1
[Viseme] offset=387.5 ms, viseme_id=15
[Viseme] offset=475.0 ms, viseme_id=19
[Viseme] offset=537.5 ms, viseme_id=4
[Viseme] offset=668.8 ms, viseme_id=6
[Viseme] offset=800.0 ms, viseme_id=0
[Viseme] offset=1125.0 ms, viseme_id=0
[Viseme] offset=1175.0 ms, viseme_id=7
[Viseme] offset=1275.0 ms, viseme_id=4
[Viseme] offset=1387.5 ms, viseme_id=14
[Viseme] offset=1462.5 ms, viseme_id=20
[Viseme] offset=1500.0 ms, viseme_id=1
[Viseme] offset=1650.0 ms, viseme_id=21
[Viseme] offset=1762.5 ms, viseme_id=19
[Viseme] offset=1850.0 ms, viseme_id=4
[Viseme] offset=1887.5 ms, viseme_id=19
[Viseme] offset=2075.0 ms, viseme_id=13
[Viseme] offset=2162.5 ms, viseme_id=7
[Viseme] offset=2275.0 ms, viseme_id=14
[Viseme] offset=2337.5 ms, viseme_id=6
[Viseme] offset=2412.5 ms, viseme_id=19
[Viseme] offset=2487.5 ms, viseme_id=4
[Viseme] offset=2587.5 ms, viseme_id=15
[Viseme] offset=2662.5 ms, viseme_id=6
[Viseme] offset=2887.0 ms, viseme_id=0
[Viseme] offset=3187.5 ms, viseme_id=0
[Viseme] offset=3237.5 ms, viseme_id=11
[Viseme] offset=3437.5 ms, viseme_id=21
[Viseme] offset=3512.5 ms, viseme_id=19
[Viseme] offset=3612.5 ms, viseme_id=6
[Viseme] offset=3662.5 ms, viseme_id=20
[Viseme] offset=3700.0 ms, viseme_id=1
[Viseme] offset=3775.0 ms, viseme_id=19
[Viseme] offset=3862.5 ms, viseme_id=3
[Viseme] offset=4025.0 ms, viseme_id=20
[Viseme] offset=4149.5 ms, viseme_id=0
[Viseme] offset=4425.0 ms, viseme_id=19
[Viseme] offset=4537.5 ms, viseme_id=13
[Viseme] offset=4612.5 ms, viseme_id=7
[Viseme] offset=4725.0 ms, viseme_id=14
[Viseme] offset=4787.5 ms, viseme_id=6
[Viseme] offset=4875.0 ms, viseme_id=19
[Viseme] offset=4975.0 ms, viseme_id=4
[Viseme] offset=5087.5 ms, viseme_id=15
[Viseme] offset=5200.0 ms, viseme_id=6
[Viseme] offset=5325.0 ms, viseme_id=15
[Viseme] offset=5425.0 ms, viseme_id=19
[Viseme] offset=5475.0 ms, viseme_id=6
[Viseme] offset=5525.0 ms, viseme_id=19
[Viseme] offset=5556.2 ms, viseme_id=16
[Viseme] offset=5587.5 ms, viseme_id=6
[Viseme] offset=5600.0 ms, viseme_id=19
[Viseme] offset=5625.0 ms, viseme_id=1
[Viseme] offset=5687.5 ms, viseme_id=14
[Viseme] offset=5712.5 ms, viseme_id=1
[Viseme] offset=5775.0 ms, viseme_id=15
[Viseme] offset=5837.5 ms, viseme_id=6
[Viseme] offset=5912.5 ms, viseme_id=15
[Viseme] offset=6000.0 ms, viseme_id=19
[Viseme] offset=6037.5 ms, viseme_id=1
[Viseme] offset=6125.0 ms, viseme_id=19
[Viseme] offset=6200.0 ms, viseme_id=19
[Viseme] offset=6262.5 ms, viseme_id=0
[Viseme] offset=6687.5 ms, viseme_id=6
[Viseme] offset=6725.0 ms, viseme_id=3
[Viseme] offset=6775.0 ms, viseme_id=13
[Viseme] offset=6850.0 ms, viseme_id=18
[Viseme] offset=6937.5 ms, viseme_id=14
[Viseme] offset=6987.5 ms, viseme_id=4
[Viseme] offset=7018.8 ms, viseme_id=6
[Viseme] offset=7050.0 ms, viseme_id=18
[Viseme] offset=7087.5 ms, viseme_id=1
[Viseme] offset=7125.0 ms, viseme_id=13
[Viseme] offset=7187.5 ms, viseme_id=20
[Viseme] offset=7237.5 ms, viseme_id=11
[Viseme] offset=7437.5 ms, viseme_id=19
[Viseme] offset=7500.0 ms, viseme_id=18
[Viseme] offset=7537.5 ms, viseme_id=1
[Viseme] offset=7575.0 ms, viseme_id=13
[Viseme] offset=7612.5 ms, viseme_id=19
[Viseme] offset=7662.5 ms, viseme_id=1
