[Viseme] offset=50.0 ms, viseme_id=0
[Viseme] offset=100.0 ms, viseme_id=3
[Viseme] offset=225.0 ms, viseme_id=3
[Viseme] offset=287.5 ms, viseme_id=19
[Viseme] offset=350.0 ms, viseme_id=0
[Viseme] offset=1687.5 ms, viseme_id=0
[Viseme] offset=1737.5 ms, viseme_id=20
[Viseme] offset=1875.0 ms, viseme_id=6
[Viseme] offset=1925.0 ms, viseme_id=4
[Viseme] offset=1975.0 ms, viseme_id=19
[Viseme] offset=2037.5 ms, viseme_id=19
[Viseme] offset=2100.0 ms, viseme_id=19
[Viseme] offset=2175.0 ms, viseme_id=19
[Viseme] offset=2237.5 ms, viseme_id=0
[Viseme] offset=4075.0 ms, viseme_id=0
[Viseme] offset=4125.0 ms, viseme_id=2
[Viseme] offset=4250.0 ms, viseme_id=15
[Viseme] offset=4287.5 ms, viseme_id=19
[Viseme] offset=4362.5 ms, viseme_id=17
[Viseme] offset=4437.5 ms, viseme_id=6
[Viseme] offset=4487.5 ms, viseme_id=0
[Viseme] offset=4550.0 ms, viseme_id=19
[Viseme] offset=4612.5 ms, viseme_id=19
[Viseme] offset=4700.0 ms, viseme_id=19
[Viseme] offset=4775.0 ms, viseme_id=19
[Viseme] offset=4850.0 ms, viseme_id=20
[Viseme] offset=4937.5 ms, viseme_id=15
[Viseme] offset=5012.5 ms, viseme_id=19
[Viseme] offset=5075.0 ms, viseme_id=15
[Viseme] offset=5150.0 ms, viseme_id=4
[Viseme] offset=5225.0 ms, viseme_id=1
[Viseme] offset=5300.0 ms, viseme_id=15
[Viseme] offset=5362.5 ms, viseme_id=1
[Viseme] offset=5462.5 ms, viseme_id=0
[Viseme] offset=5562.5 ms, viseme_id=2
[Viseme] offset=5650.0 ms, viseme_id=19
[Viseme] offset=5681.2 ms, viseme_id=16
[Viseme] offset=5725.0 ms, viseme_id=4
[Viseme] offset=5800.0 ms, viseme_id=3
[Viseme] offset=5831.2 ms, viseme_id=6
[Viseme] offset=5862.5 ms, viseme_id=2
[Viseme] offset=5937.5 ms, viseme_id=15
[Viseme] offset=5987.5 ms, viseme_id=20
[Viseme] offset=6050.0 ms, viseme_id=2
[Viseme] offset=6100.0 ms, viseme_id=2
[Viseme] offset=6150.0 ms, viseme_id=15
[Viseme] offset=6200.0 ms, viseme_id=0
[Viseme] offset=9337.5 ms, viseme_id=0
[Viseme] offset=9387.5 ms, viseme_id=2
[Viseme] offset=9512.5 ms, viseme_id=15
[Viseme] offset=9562.5 ms, viseme_id=6
[Viseme] offset=9637.5 ms, viseme_id=1
[Viseme] offset=9687.5 ms, viseme_id=15
[Viseme] offset=9750.0 ms, viseme_id=6
[Viseme] offset=9812.5 ms, viseme_id=4
[Viseme] offset=9862.5 ms, viseme_id=20
[Viseme] offset=9937.5 ms, viseme_id=20
[Viseme] offset=9987.5 ms, viseme_id=0
[Viseme] offset=10025.0 ms, viseme_id=6
[Viseme] offset=10075.0 ms, viseme_id=4
[Viseme] offset=10137.5 ms, viseme_id=4
[Viseme] offset=10225.0 ms, viseme_id=2
[Viseme] offset=10512.5 ms, viseme_id=15
[Viseme] offset=10575.0 ms, viseme_id=0
[Viseme] offset=10650.0 ms, viseme_id=1
[Viseme] offset=10725.0 ms, viseme_id=20
[Viseme] offset=10787.5 ms, viseme_id=2
[Viseme] offset=10825.0 ms, viseme_id=15
[Viseme] offset=10887.5 ms, viseme_id=4
[Viseme] offset=10975.0 ms, viseme_id=19
[Viseme] offset=11075.0 ms, viseme_id=0
